sample,group,1-Methylhistidine,2-Hydroxybutyric acid,Acetic acid,Betaine,Acetoacetate,Carnitine,Creatine,Citric acid,Choline,Ethanol,D-Glucose,Glycine,Glycerol,Formate,L-Glutamic acid,Hypoxanthine,Tyrosine,L-Phenylalanine,L-Alanine,L-Proline,L-Threonine,L-Asparagine,Isoleucine,L-Histidine,L-Lysine,L-Serine,L-Lactic acid,Aspartate,L-Ornithine,Pyruvic acid,Succinate,Urea,3-Hydroxybutyric acid,L-Arginine,Creatinine,L-Glutamine,L-Leucine,Malonate,Methionine,Isopropyl alcohol,Valine,Tryptophan,Acetone,Isobutyric acid,Methanol,Propylene glycol,Dimethyl sulfone
A6,LD20,631,781,200.7,1864.8,201.6,285.1,128.1,167,132.9,475.1,17282.2,818.8,3938.5,515.3,5708.2,2.9,11.9,145.9,133.8,2052.9,318.3,627.3,652.3,559.3,1168.9,2145.9,26,535.8,458.1,76.1,159.3,5056.7,404.8,1786.3,16.5,1141.8,1383.4,0,439.3,96.2,232.8,159.7,59.8,17.2,1792,1.9,110.7
A7,LD20,417.7,159.9,127.3,1318,9.6,50.3,33.6,37.2,15.3,42.9,2820.6,75.3,1095,610.1,766.6,1.1,2.8,21.9,68.5,422.5,74.4,198.8,25.3,383.1,82.6,1727,83.2,274.6,120.2,18.7,25.2,1775.9,44.3,631.9,44.3,5180.5,104.9,26.6,12.3,8.9,35.5,23.5,18.7,11.7,12.7,0,9.7
A9,LD20,1074.1,572.2,134.5,3039.3,148.8,681.2,175.9,192,69.9,247.1,15407.5,9.3,2366.3,269.9,3435.9,3.1,0,55.3,61.6,1740.5,302.3,684.7,442.6,0,43.8,2742.1,31.7,822.8,264.6,17.5,78.8,3609.5,215,1509.9,20.9,1103.5,842.2,725.4,301.2,64.5,245.3,30.7,44.7,16.1,2868,0.4,83.2
A12,LD20,301.9,744.3,212.2,5937.9,91.4,0,185.7,154.2,152.9,319.7,17018.7,567.4,1769.8,797.7,3477,0.7,21.5,138.2,451.2,1824.5,650.2,0,576.1,756.8,568,5312.5,416.6,468.5,483.7,44.4,504.5,3796.7,281.6,1291.9,164.5,1068.4,1118.8,99.1,763.5,67.6,247.8,140.6,22.2,0,29.3,0,54.3
A13,LD20,342.8,354,145.8,3194.3,31.8,29.8,123.7,79.6,94.4,126.7,8908.1,265.9,1472.7,660.5,2239.5,0.3,4.5,63.5,67.1,1041.3,297.7,189.8,89.5,309.1,280,2649.1,86.2,398.1,332.5,2.8,83,2602.5,155.9,733.3,125.7,1647.6,405.7,89.7,88.6,27.3,93.5,57,28.2,20.4,59.7,0.6,30.1
A14,LD20,160.8,339.8,89.5,2358.9,47.4,168,219.7,62,65.2,202.4,10255,692.3,3420.2,322.9,1573,0.8,0,43.6,20.3,618.6,340.9,805.9,179.4,268.4,208,1264.8,0,380.4,340.9,35,30.9,9428.8,154,709.8,58.3,440.4,436.3,854.1,366.6,38.8,96.8,53.2,23.2,13,1121.9,0,226.6
A8,LD20,295.6,793,117.5,3935.1,57.1,137.8,180.4,109.6,26.8,219.7,5169.5,215.9,1820.5,686.3,4740.9,0.7,9,70.6,603.5,1110.9,574.2,559.6,382,506.7,358,3662.9,947.7,701.8,601,70.4,621.5,6451.1,244.1,1224.3,259.8,6419.7,867.4,118.1,163.3,43.2,273.1,99.2,28.3,42.9,25.3,0,44.1
A11,LD20,215.8,332.4,102.5,1303.2,15.2,154.3,57.8,78.5,54.5,149.1,7973.4,381.6,3089.4,453.5,1984.1,2.3,6.2,11.6,114,306.9,223.6,107.9,61.2,354.6,88.5,1345,158.7,816.4,43.3,0,42.2,18144.2,87.8,954.2,6.2,3623.9,125.5,62.3,85.2,20.7,35.4,19.8,30.2,21.1,808.5,0,64.7
A10,LD20,658.1,320.1,63.6,1141,40.1,144.9,143.2,86.2,48.7,153.1,5600.5,372.4,2125.5,291.9,1391.1,2.4,6.8,13.6,68.1,369.9,186.4,171.7,67,545.2,111.4,688.1,43.6,274.2,16.1,0,31.5,9106.3,120.3,833.4,106.7,2576.1,170.4,102.5,78.4,22,32.6,26.3,33.4,15.3,689,3.1,55.5
A26,LD20,312.7,508.5,53.9,2457.7,130.3,284.7,101.3,185.6,191.5,281.8,18612.8,1610.4,6837,141.5,2893,3.3,5.3,52.6,30.7,980.2,247.5,573.5,194.3,17.8,154.5,2326.1,50.8,750.8,79.3,60,24.7,23263.1,296.7,1533.5,36.3,356,593.4,326.2,233.4,54.9,67.9,56.1,22.6,14.9,2967.7,0,259.5
A15,LD20,164.1,260.2,88.3,2545.1,20.5,0,69.7,85.8,56.5,143.9,8277.6,261.2,3565.4,315.8,1452.2,0.3,0,26,139.8,628.6,183.4,156.3,124.5,0,103.9,4195.2,145.9,363.8,231.5,0,149.1,5712.3,118.9,395.1,81.1,693.6,249.4,37.2,22.5,22,94.7,31.8,14.4,5.5,29.9,0,26.7
D5,SD15,335.9,241.7,211.8,2085.1,11.4,25.4,175.7,53.9,62.9,81.5,7996.8,276.8,1231.6,407.9,1543.8,1.1,0,47.1,101.2,669.2,323.8,156.4,88.4,329.1,134.4,1393.1,192.9,490.1,239.7,26.1,87.4,987.3,90.8,630.5,133.5,1001.9,297.8,21.9,30.9,12.6,94.7,49.7,8.9,16,359.7,0.7,13.1
D16,SD15,0,350.8,497.3,2201.9,11.2,91.2,119.8,51.2,43.6,331.3,435.1,255.8,293.2,1722.4,2207.8,3.1,8.2,60.9,88.9,282.2,165.5,31.6,224.3,390.7,246,357.8,3926.9,374.2,913.2,45,55.3,546.8,111.3,400.8,35.7,87.2,495.3,55.5,20.9,117.6,157.7,64.5,14,21.6,317.2,7.2,27.2
D11,SD15,0,638.2,105.2,3474.8,116.6,489.5,93.8,152.2,214,190.9,26188.7,2367,11174.2,110.2,2105.4,4.3,18.6,56.4,90.8,2481.7,352.2,260,328.4,278.9,135.5,2798.4,63.3,560.9,0,17.8,29.1,26077,231.9,1012.4,20.2,51,657,652,158,53,120.2,56.6,30.9,7.6,4594.7,0,316.7
D12,SD15,214,232.6,64.2,1079.4,33.6,21.8,94,35.8,23.2,78.7,2010.9,90.5,500.3,160.4,1409.9,0.3,10.9,57.6,91.5,258.1,69.4,76.8,71.5,197.6,357.7,1049.4,80.6,249.7,167.1,16.1,75.2,1475.3,90.2,845.8,26.5,226.6,368.4,43.8,96.2,11.3,60.2,29.6,5,9.3,33.9,0,5.2
D17,SD15,208.5,183.9,51.1,1813.4,16.3,18.3,78.4,38.1,20.5,69.4,2249.5,109.7,363.1,136.4,1377.7,0.1,0.8,58,93.4,288.4,71.1,4.6,115.5,0,94.7,999.3,96.4,265.1,145.8,42.1,97.5,961.7,69.9,399,69.1,202,314.7,38,187.8,12.7,88.6,42.7,6.3,6,30.8,0,12.9
D18,SD15,336.4,267.7,75.5,1940.9,48.4,86.1,99,85.3,32.6,112,8574.6,429.7,1915.7,101.9,1537.9,0.8,8.7,78.1,93.6,301.3,200.6,238.7,133.9,0,343.8,739.5,115.1,348.5,196.1,38.8,105,1009.4,89.1,675.5,32.5,54.8,508.4,171,408.9,22.2,107.2,59,4.7,2,1129.1,1.5,38.7
D20,SD15,169.6,344.3,87.3,2990.2,10.5,37.3,80.9,73.9,24.9,96.4,5066.6,116.6,773.4,300.3,1507.2,0.2,0,45.8,154.1,565.1,289.3,134.4,156.9,0,132.6,1402.9,324.3,276.6,300.7,32.8,109.8,2386.4,108.1,253.6,79.8,347.2,381.3,43.2,339.2,18.6,148.5,47.4,7.3,17.5,30.8,0,24.5
D23,SD15,713.7,1030.6,97.3,4287,201.7,496.6,870.9,1044.2,359.7,460.5,35071.8,2655.3,13606.7,55.6,4827,4.8,19.1,129.4,252.3,4387.5,359.5,6588,676.5,568,295.3,3173.9,99.2,6061.6,859.2,14.7,152.6,38411.2,390.7,2581.1,589.8,1343.4,1202.3,3282.7,364.9,105.4,193.1,216.8,41.3,15.9,5317.2,0,681
D24,SD15,1027.7,821.5,49,3101,270.2,479.9,409.3,228.8,300.3,348.4,29342.5,2134.7,10361.9,70.1,6183.8,6,12.9,128.4,249.8,3458.2,569.4,1618.3,846.5,649.5,288.8,2626.6,231.9,1290,484.2,82.4,150.7,37847.7,380.1,3286.3,114.5,0,1493.1,2598.8,557,57.8,383.8,97.2,20.4,9.8,3255.8,3.7,481.5
D26,SD15,167.8,882.9,129.5,4992.6,237.3,528,95.6,288.1,344.9,643.3,39244,3017.3,15494.5,182.1,6722.7,6.3,14.8,107.4,321.6,4173,757.7,532.3,570.3,0,73.5,5433,0,1953.4,0,87,156.7,42969.1,456.9,3233.7,53.5,1519.4,1252.5,980.2,173.3,119,222.4,115,37.8,0,4853.6,3.5,370.3
D22,SD15,696.7,257,54.2,988.2,44.5,111.1,102.1,119,41,147.8,8954.6,435.2,3037.9,128.6,1703.2,1.1,0,45.1,177.7,598.2,191.7,691.1,109.7,37.9,261.6,1291.9,39.5,789.5,369.9,28.3,195.6,8613.7,120.1,690.2,20.9,596.9,385,235.2,161.1,37.7,80.6,37.4,8.7,6.9,670,0,59.2
B1,SD20,100.4,150,89,1356.5,0,10,22,49.1,10.5,49.2,3802.1,30.5,225.9,423.5,1019.4,0.3,1.1,21.8,45.7,246.5,113.1,172.5,49.4,205.7,77.2,531.2,73.6,272.9,168.2,2.4,22.2,953.4,32,477.7,36.1,1335.5,117.7,11.4,0,8.9,48.9,20.1,7.4,16.4,4.2,0,11.9
B3,SD20,302.8,397.8,117.9,1843,28.7,3.2,86.4,119.5,15.6,141,7944.9,80.7,884.9,774.3,1886.2,0.3,4.1,40.1,76,847.7,316.9,155.8,125.8,209.4,282.9,2251,51.6,541.5,269.3,43.7,96.8,1885.3,124.4,334.9,88.8,981.1,387,102,44.6,23.6,110.6,30.8,17.4,23.6,0,0.9,18.9
B2,SD20,283.8,412.7,86.1,2836.4,46.7,237,36.3,69.9,268.8,140.1,18042.9,943.6,5120.5,224.8,3033.8,2.4,11,43.7,103.1,1298.4,527,360.7,119,346.1,178.4,3058.4,199.3,798.8,82.5,0,35.4,40482,134.9,1378.8,81.9,1537.4,354.7,529.7,71.9,38.1,122.3,29.9,37.9,35.6,1844.5,2.5,150.5
B5,SD20,371.6,1022.3,178.2,8323,0,1.1,202.5,219.4,228.7,193.5,12539.7,447.5,3577.8,1029.8,3837.1,1.5,0,0,183.9,1503.8,1166.1,1113,568.1,736.3,176.4,4626.9,366.6,895.3,345.2,20,134.7,4823.9,395.8,782.7,155.9,4001.3,829.1,22.8,85.5,41.8,289.9,84.6,37.9,80.9,216.2,0,102.4
B6,SD20,0,644,252.2,2858.2,85.5,0,229.6,121.3,85.6,215.9,11542.5,292.9,1560.1,785.6,2628.9,0.5,0,59.6,44.7,1166.8,135.3,277.2,205.3,474.8,220.4,3868.9,107.9,620.1,360.4,39.6,66.2,2366.9,247.8,805.2,180.1,1762.9,702.8,154.6,71.2,43.5,93.9,87.1,23.5,22.8,17.5,0,44.7
B8,SD20,206.2,209.4,138.9,1312,6.6,99.7,42,22.8,36.8,92.1,1730.7,135,534.3,532.8,2173.9,2.4,2.5,45.2,119.3,336.8,143.6,81.2,55.4,389.7,95.5,932.5,165.2,856.5,155,0.1,49.7,3268.2,48.5,713.1,35.5,1545.2,133.1,32.9,28.5,18.8,60.5,37.4,21.6,19.3,439.6,1.1,8.6
B10,SD20,611.7,682.7,223.5,5245.9,62.8,130.3,178.9,119.2,189.3,126.4,9105.6,0,3408.9,911,3255,0.8,0,37.8,114.3,705.2,353.4,645.7,312.6,562.2,422.9,4784.8,132.3,900.3,262.1,46.6,125.3,8861.8,162.4,433.6,131,3144.4,566.5,188.5,96.9,31.2,166.9,57.1,58.1,44.5,70.9,0,57.1
C6,LD15,337.8,429.6,177.7,5211,0,0,140.2,129.5,144.8,121.4,11681,178.8,4313.9,261.8,3206.3,0.7,0,66.9,231.1,828.4,498.4,557.6,217.1,0,140.1,5541.7,139.7,1092.3,259.1,0,69.3,8389.4,141,1144.9,205.3,2494.7,402.1,71,49.6,36.6,201.8,80.7,70.3,7.7,126.2,2.4,61.2
C1,LD15,0,382.1,93.4,5478,50.5,433.1,626.6,92,448.4,212.2,24933.4,3415.7,10575.9,164.5,1740.3,3.6,0,0,96.1,712.2,634.7,4566.4,97.4,323.4,159.3,3448.2,282.3,782.5,0,4.7,3.1,25737.9,206.9,896.3,351.7,607.7,222.1,4554.9,43.1,67.2,0,18.8,7.4,18.3,5333.2,0,1010.8
C3,LD15,316.2,421,129.6,3249.2,86.3,10.9,83.6,102.3,129,205.4,16288.8,493.9,3372.2,425.4,3254.1,0.6,6.9,95.6,71.2,2003,626.5,166.7,252.6,413.6,221.4,3820.4,113.8,1194.2,282.9,38.7,84.3,6466.9,199.3,1490.1,227.7,787.7,838.6,134,283.8,38.7,161.4,98.4,18.1,21.7,102.3,0,16.2
C5,LD15,539.3,1585.8,164.3,5293.6,271.5,968.5,954.5,1382.4,597.1,403.5,51925.6,3291.1,15854.5,215.6,5704,5.8,0,125.5,246.1,4551.6,443.6,8904.8,780.1,796.2,474.5,5645.2,188.1,9197,139.6,0,162.9,31313.1,479.9,2321.3,366.3,2636.7,1488.5,4859.1,434,90.8,214.3,191.6,111.5,36,6373.5,0,993.5
C7,LD15,153.8,622.8,161.9,4363.8,56.3,24.5,153.2,119.5,134.2,229.9,13227.3,473.7,3262.5,517.2,2983.3,1.2,0,73.9,87.2,1621.5,738,347,326.8,283.8,524.2,4036.1,204.2,890.7,248.7,63.6,85.4,4814.6,212.2,867.4,85.2,1625.2,753.8,154.2,239.6,47,223.7,114.7,34.7,23.9,106.9,0,43.7
C10,LD15,543.5,682.8,91.5,2680.8,187.7,370.3,149.9,182.8,201.2,235.4,29695.8,1656.1,8125.1,144.9,4046.8,2.7,12.7,84.6,145.8,1448,529.7,366.2,476.7,501.8,325.6,2971.9,181.7,716.9,138.1,80.4,126.2,14862.5,265.1,2041.1,6.7,0,895.3,613.3,428.9,63.5,184.4,100.3,16.2,24.6,3530.3,0,293.7
C11,LD15,589.2,1338.5,150.5,4269.4,217.6,586.7,817.5,866.8,357.5,501,33390.2,1676.7,8967.7,228.6,3848.3,1.8,7.9,101.5,306.1,3675.5,819.7,6146.2,632.9,129.6,1300.3,2004.2,41.6,5139.7,1052.3,90.3,174.2,14882,566.4,2264.5,268.3,921.8,1415.3,2673.9,848.5,115.2,282.8,174.3,22.1,0,3761.3,10.8,658.2