sample,group,HMDB00001,HMDB00008,HMDB00042,HMDB00043,HMDB00060,HMDB00062,HMDB00064,HMDB00094,HMDB00097,HMDB00108,HMDB00122,HMDB00123,HMDB00131,HMDB00142,HMDB00148,HMDB00157,HMDB00158,HMDB00159,HMDB00161,HMDB00162,HMDB00167,HMDB00168,HMDB00172,HMDB00177,HMDB00182,HMDB00187,HMDB00190,HMDB00191,HMDB00214,HMDB00243,HMDB00254,HMDB00294,HMDB00357,HMDB00517,HMDB00562,HMDB00641,HMDB00687,HMDB00691,HMDB00696,HMDB00863,HMDB00883,HMDB00929,HMDB01659,HMDB01873,HMDB01875,HMDB01881,HMDB04983
A6,LD20,0.5599929002484912,0.6931132410365637,0.17811501597444088,1.6549520766773163,0.17891373801916932,0.2530173943911963,0.11368477103301383,0.14820731274405397,0.11794462193823217,0.4216364927227547,15.337415690450834,0.726659566915158,3.495296414625488,0.4573127440539581,5.065850195243166,0.0025736599219027332,0.010560880369187078,0.12948171813986512,0.11874334398296059,1.8218849840255593,0.28248136315228967,0.5567092651757188,0.5788959886403976,0.4963613773517927,1.037362442314519,1.904419595314164,0.023074192403265886,0.4755058572949946,0.40654952076677314,0.06753638622648207,0.14137380191693294,4.4876641817536385,0.35924742634007806,1.585285764998225,0.014643237486687966,1.013312034078807,1.2277245296414627,0,0.3898651047213348,0.08537451189208378,0.2066027689030884,0.14172878949236775,0.053070642527511536,0.01526446574369897,1.5903443379481719,0.0016861909833155839,0.09824281150159744
A7,LD20,0.447503749732162,0.17130919220055713,0.13638311549175058,1.4120419970002143,0.01028497964431112,0.05388900792800514,0.03599742875508893,0.039854296121705594,0.01639168630812085,0.04596100278551532,3.021855581744161,0.08067280908506534,1.1731304906792372,0.6536318834368975,0.8212984786800943,0.0011784872509106492,0.0029997857295907433,0.023462609813584744,0.07338761517034498,0.45264623955431754,0.07970859224341119,0.2129847868009428,0.027105206770944933,0.41043496893079073,0.08849367902292693,1.8502249839297193,0.08913649025069639,0.29419327190914935,0.1287765159631455,0.02003428326548104,0.02699807156631669,1.902614098992929,0.04746089565031069,0.6769873580458539,0.04746089565031069,5.550139275766017,0.11238482965502465,0.028497964431112067,0.013177630169273624,0.009535033211913435,0.0380329976430255,0.0251767730876366,0.02003428326548104,0.012534818941504178,0.013606170987786586,0,0.010392114848939362
A8,LD20,0.1352736591616328,0.3628958447739338,0.05377082189273293,1.8007962657880285,0.026130331319787665,0.06306058941973275,0.08255537250594912,0.050155592165476846,0.012264323631704191,0.10053999633900787,2.3656873512721948,0.09880102507779609,0.8331045213252791,0.3140673622551712,2.1695496979681494,3.2033681127585574e-4,0.004118616144975289,0.03230825553725059,0.2761760937213985,0.5083745194947832,0.2627677100494234,0.2560863994142413,0.17481237415339557,0.23187808896210874,0.16382939776679478,1.6762310086033314,0.4336902800658979,0.3211605345048508,0.27503203368112755,0.03221673073402892,0.2844133260113491,2.952178290316676,0.11170602233205199,0.5602690829214717,0.11889071938495334,2.937808896210873,0.3969430715723961,0.05404539630239795,0.07473000183049608,0.019769357495881386,0.12497711879919458,0.045396302397949846,0.01295075965586674,0.019632070291048874,0.011577887607541644,0,0.02018121911037891
A9,LD20,1.0717421672320893,0.5709439233685891,0.13420474955098785,3.0326282179205752,0.1484733586110557,0.6797046497705049,0.17551386948712833,0.19157852724007185,0.06974655757333866,0.24655757333865494,15.373677908601078,0.009279584913190982,2.3611055677509483,0.26930752344841347,3.4283576132508484,0.0030931949710636605,0,0.055178607064458186,0.06146477748952305,1.7366793055278387,0.30163639992017566,0.6831969666733188,0.4416284174815407,0,0.043703851526641385,2.7360806226302135,0.031630413091199364,0.8209938136100579,0.264019157852724,0.01746158451406905,0.07862702055477948,3.601576531630413,0.21452803831570544,1.5065855118738776,0.02085412093394532,1.1010776292157254,0.8403512272999402,0.7238076232288965,0.3005388146078627,0.06435841149471164,0.2447615246457793,0.030632608261823988,0.04460187587307923,0.016064657752943527,2.861704250648573,3.991219317501497e-4,0.08301736180403115
A10,LD20,0.795960328979197,0.3871552975326561,0.07692307692307693,1.380019351717465,0.048500241896468316,0.17525399129172714,0.17319787131107886,0.1042573778422835,0.05890179003386552,0.1851717464925012,6.773705853894533,0.4504112239961297,2.5707547169811322,0.3530478955007257,1.682510885341074,0.002902757619738752,0.00822447992259313,0.01644895984518626,0.08236574746008708,0.44738751814223515,0.2254475084663764,0.20766811804547652,0.0810353168843735,0.6594097726173198,0.13473633284954042,0.8322447992259314,0.052733430091920656,0.3316400580551524,0.019472665699080797,0,0.03809869375907112,11.013909046927914,0.14550072568940495,1.0079825834542817,0.12905176584421868,3.1157474600870825,0.20609579100145137,0.12397194000967587,0.09482341557813258,0.02660861151427189,0.03942912433478472,0.03180938558297049,0.04039671020803096,0.018505079825834544,0.8333333333333334,0.0037493952588292215,0.06712626995645864
A11,LD20,0.26887615250436087,0.4141539995016197,0.12770994268626965,1.6237229005731375,0.01893845003737852,0.1922501868925991,0.07201594816845253,0.09780712683777723,0.06790431098928483,0.18577124345875906,9.934462995265388,0.47545477199102926,3.8492399700971847,0.565038624470471,2.472090705208074,0.002865686518813855,0.007724894094193871,0.014453027660104659,0.1420383752803389,0.3823822576625966,0.27859456765512086,0.13443807625218043,0.07625218041365563,0.44181410416147526,0.11026663344131572,1.6758036381759283,0.19773236979815598,1.0171941191128833,0.053949663593321706,0,0.05257911786693247,22.606777971592326,0.10939446797906803,1.1888861201096437,0.007724894094193871,4.5152005980563175,0.15636680787440818,0.07762272614004485,0.10615499626214801,0.025791178669324694,0.04410665337652629,0.02466982307500623,0.03762770994268627,0.026289558933466236,1.0073511088960878,0,0.0806130077248941
A12,LD20,0.1731077981651376,0.4267775229357798,0.12167431192660551,3.4047591743119265,0.05240825688073395,0,0.10647935779816514,0.08841743119266056,0.08767201834862386,0.18331422018348623,9.75842889908257,0.3253440366972477,1.0147935779816515,0.45739678899082575,1.9936926605504586,4.0137614678899085e-4,0.012327981651376147,0.07924311926605504,0.25871559633027524,1.046158256880734,0.37282110091743126,0,0.33033256880733947,0.4339449541284403,0.32568807339449546,3.046158256880734,0.23887614678899083,0.2686353211009174,0.27735091743119267,0.025458715596330277,0.28927752293577985,2.177006880733945,0.1614678899082569,0.7407683486238532,0.09432339449541285,0.6126146788990826,0.64151376146789,0.05682339449541284,0.43778669724770647,0.03876146788990825,0.14208715596330276,0.08061926605504588,0.012729357798165138,0,0.01680045871559633,0,0.03113532110091743
A13,LD20,0.2954153740089624,0.30506721820062044,0.12564632885211996,2.752757669769045,0.027404343329886244,0.02568079972423302,0.10660117200965184,0.06859703550499827,0.08135125818683213,0.10918648741813168,7.676749396759738,0.22914512237159596,1.2691313340227508,0.5692002757669768,1.9299379524301963,2.585315408479834e-4,0.0038779731127197518,0.054722509479489825,0.057824887969665624,0.8973629782833504,0.25654946570148224,0.16356428817649088,0.07712857635298172,0.2663736642537056,0.24129610479145122,2.282919682867976,0.07428472940365391,0.343071354705274,0.2865391244398483,0.002412961047914512,0.07152705963460876,2.2427611168562565,0.13435022406066874,0.6319372630127541,0.10832471561530506,1.419855222337125,0.34962082040675624,0.07730093071354704,0.07635298173043777,0.023526370217166494,0.08057566356428816,0.04912099276111685,0.024301964839710442,0.01758014477766287,0.051447776628748706,5.170630816959668e-4,0.025939331265081005
A14,LD20,0.11510379384395134,0.24323550465282748,0.06406585540443807,1.6885468861846815,0.03392984967788117,0.12025769506084467,0.1572655690765927,0.04438081603435934,0.046671438797423054,0.14488188976377953,7.340730136005727,0.495561918396564,2.4482462419470292,0.23113815318539724,1.125984251968504,5.72655690765927e-4,0,0.03120973514674302,0.014531138153185399,0.4428060128847531,0.24402290622763062,0.5768790264853256,0.12841803865425913,0.19212598425196847,0.14889047959914103,0.9053686471009305,0,0.27229778095919827,0.24402290622763062,0.025053686471009307,0.02211882605583393,6.749319971367215,0.11023622047244094,0.5080887616320687,0.04173228346456693,0.3152469577666428,0.3123120973514674,0.6113815318539728,0.26241947029348606,0.02777380100214746,0.06929133858267716,0.03808160343593415,0.016607015032211882,0.009305654974946315,0.8030780243378669,0,0.1622047244094488
A15,LD20,0.10184955312810327,0.1614945382323734,0.0548038728897716,1.5796300893743795,0.012723435948361471,0,0.043259682224429,0.05325223435948362,0.03506703078450844,0.08931231380337637,5.137537239324728,0.16211519364448856,2.2128848063555115,0.19600297914597817,0.9013157894736843,1.8619662363455807e-4,0,0.016137040714995037,0.08676762661370407,0.3901439920556108,0.11382820258192652,0.09700844091360478,0.07727159880834161,0,0.06448609731876863,2.6037735849056602,0.09055362462760676,0.22579443892750747,0.14368172790466735,0,0.09253972194637539,3.5453699106256207,0.07379592850049653,0.245220953326713,0.0503351539225422,0.43048659384309834,0.1547914597815293,0.023088381330685206,0.013964746772591857,0.01365441906653426,0.058776067527308844,0.01973684210526316,0.00893743793445879,0.003413604766633565,0.01855759682224429,0,0.01657149950347567
A26,LD20,0.38096978557504874,0.6195175438596492,0.06566764132553606,2.9942738791423005,0.15874756335282655,0.34685672514619886,0.12341617933723198,0.22612085769980506,0.23330896686159847,0.34332358674463936,22.676413255360625,1.9619883040935673,8.3296783625731,0.1723927875243665,3.524610136452242,0.00402046783625731,0.006457115009746589,0.06408382066276803,0.03740253411306043,1.1942007797270957,0.30153508771929827,0.6987085769980507,0.23672027290448347,0.02168615984405458,0.18823099415204678,2.8339424951267054,0.06189083820662768,0.9147173489278753,0.0966130604288499,0.07309941520467836,0.030092592592592594,28.341983430799218,0.36147660818713456,1.8682992202729047,0.04422514619883041,0.4337231968810916,0.7229532163742691,0.3974171539961014,0.28435672514619886,0.0668859649122807,0.08272417153996102,0.06834795321637428,0.027534113060428852,0.018153021442495126,3.615618908382066,0,0.3161549707602339
B1,SD20,0.08247083949400362,0.1232134056185313,0.07310662066699523,1.1142598981435847,0,0.008214227041235419,0.01807129949071792,0.04033185477246591,0.00862493839329719,0.040413997042878264,3.1231312633481187,0.02505339247576803,0.18555938886150813,0.34787251519632,0.8373583045835388,2.4642681123706255e-4,9.035649745358962e-4,0.017907014949893215,0.03753901757844587,0.2024806965664531,0.09290290783637259,0.141695416461311,0.04057828158370297,0.16896665023821258,0.06341383275833744,0.4363397404304255,0.06045671102349268,0.2241662559553146,0.13816329883357975,0.0019714144898965004,0.018235584031542632,0.7831444061113849,0.026285526531953343,0.392393625759816,0.029653359618859863,1.0970100213569904,0.09668145227534089,0.009364218827008379,0,0.007310662066699523,0.0401675702316412,0.016510596352883197,0.006078528010514211,0.013471332347626087,0.003449975357318877,0,0.00977493017907015
B2,SD20,0.14390021296014602,0.20925869587262957,0.04365682993611195,1.4381908528546803,0.023679140046648416,0.12017036811682386,0.018405841192576818,0.035442652874961976,0.13629449345908126,0.07103742013994524,9.148615759050807,0.4784504614136497,2.596339113680154,0.1139843829226245,1.538282121488693,0.001216915120170368,0.005577527634114187,0.022157996146435453,0.05227664537065206,0.6583510800121692,0.26721427847074336,0.1828922016022716,0.06033870804178076,0.17548930128790186,0.09045735726599737,1.5507555014704393,0.10105465977081432,0.4050299158300375,0.04183145725585641,0,0.01794949802251293,20.526315789473685,0.06840077071290945,0.6991177365378766,0.04152722847581381,0.7795355440624684,0.17984991380184567,0.26858330798093505,0.03645674880843728,0.019318527532704594,0.062011966332015014,0.015160734205455837,0.019217117939357063,0.01805090761586046,0.9352499746476017,0.0012676199168441336,0.07631071899401683
B3,SD20,0.22725908135694986,0.2985589912939058,0.08848694085860102,1.3832182527769439,0.021540078054638246,0.0024016811768237767,0.06484539177424198,0.08968778144701291,0.011708195737015911,0.10582407685379766,5.962848994296007,0.060567397178024625,0.66413989792855,0.5811317922545782,1.4156409486640649,2.2515761032722905e-4,0.0030771540078054632,0.030096067247072953,0.057039927949564695,0.6362203542479736,0.2378414890423296,0.11693185229660764,0.09441609126388471,0.15716001200840587,0.21232362653857698,1.6894326028219753,0.0387271089762834,0.4064094866406484,0.20211648153707598,0.0327979585709997,0.07265085559891923,1.4149654758330832,0.09336535574902433,0.25135094566196337,0.0666466526568598,0.7363404383068148,0.2904533173221255,0.07655358751125789,0.033473431401981384,0.017712398679075356,0.08300810567397177,0.02311618132692885,0.013059141398979285,0.017712398679075356,0,6.754728309816872e-4,0.014184929450615431
B5,SD20,0.17515082956259428,0.4818533182503771,0.08399321266968326,3.922982654600302,0,5.184766214177979e-4,0.09544683257918553,0.10341251885369533,0.10779600301659124,0.09120475113122173,5.9104920814479645,0.21092571644042232,1.6863687782805432,0.4853883861236803,1.8085878582202113,7.070135746606336e-4,0,0,0.08667986425339368,0.7088046757164405,0.5496323529411764,0.5246040723981901,0.2677696078431373,0.3470493966817496,0.08314479638009051,2.18085407239819,0.17279411764705885,0.42199283559577677,0.16270739064856712,0.009426847662141781,0.06348981900452488,2.2737085218702866,0.18655731523378585,0.3689196832579186,0.07348227752639518,1.8859822775263955,0.39078996983408754,0.010746606334841629,0.04029977375565611,0.01970211161387632,0.13664215686274508,0.039875565610859726,0.01786387631975867,0.03813159879336351,0.10190422322775264,0,0.048265460030165915
B6,SD20,0,0.6034482758620691,0.2363193403298351,2.6782233883058475,0.08011619190404799,0,0.21514242878560721,0.11366191904047977,0.08020989505247376,0.2023050974512744,10.815685907046477,0.27445652173913043,1.4618628185907048,0.7361319340329836,2.463362068965518,4.685157421289356e-4,0,0.05584707646176912,0.041885307346326846,1.093328335832084,0.12678035982008998,0.25974512743628186,0.19237256371814096,0.4449025487256372,0.2065217391304348,3.6252811094452775,0.1011056971514243,0.5810532233883059,0.3377061469265368,0.0371064467766117,0.062031484257871077,2.2178598200899553,0.23219640179910048,0.7544977511244378,0.1687593703148426,1.6518928035982012,0.6585457271364318,0.14486506746626687,0.06671664167916043,0.0407608695652174,0.08798725637181411,0.08161544227886057,0.022020239880059973,0.021364317841079464,0.016398050974512746,0,0.041885307346326846
B8,SD20,0.20509250049731448,0.20827531330813606,0.13815396856972348,1.304953252436841,0.006564551422319475,0.09916451163715935,0.04177441814203302,0.02267754127710364,0.036602347324447976,0.09160533121145813,1.721404416152775,0.13427491545653472,0.5314302765068629,0.5299383330017903,2.1622239904515617,0.002387109608116172,0.0024865725084543466,0.04495723095285459,0.11865924010344141,0.3349910483389696,0.14282872488561765,0.08076387507459717,0.05510244678734831,0.3876069226178635,0.09498706982295603,0.9274915456534711,0.16431271135866318,0.8518997413964591,0.15416749552416947,9.946290033817386e-5,0.04943306146807241,3.250646508852198,0.048239506664014324,0.7092699423115179,0.03530932962005172,1.5369007360254625,0.1323851203501094,0.0327232942112592,0.028346926596379548,0.018699025263576686,0.06017505470459518,0.037199124726477024,0.021483986473045554,0.019196339765267554,0.4372389098866123,0.0010940919037199124,0.008553809429082952
