slug_number,dry_weight_g,wet_weight_g
A1,0.12641,0.7807
A2,0.06512,0.7488
A3,0.0991,0.615
A4,0.08235,0.5965
A5,0.07397,0.4478
A6,0.09242,0.5634
A7,0.0588,0.4667
A8,0.17756,1.0926
A9,0.08631,0.5011
A10,0.03582,0.4134
A11,0.05385,0.4013
A12,0.11657,0.872
A13,0.08152,0.5802
A14,0.10377,0.6985
A15,0.11185,0.8056
A16,,0.8816
A17,,0.5458
A18,,0.7519
A19,,0.7874
A20,,1.1677
A21,,0.9442
A22,,0.4406
A23,,0.4156
A24,,0.4123
A25,,0.4484
A26,0.06288,0.4104
A27,0.0524,0.3218
B1,0.08555,0.6087
B2,0.15284,0.9861
B3,0.10649,0.6662
B4,0.07754,0.5246
B5,0.17006,1.0608
B6,0.06391,0.5336
B7,0.07447,0.4944
B8,0.05654,0.5027
B9,0.07357,0.4023
B10,0.09543,0.6671
C1,0.11577,0.7338
C2,0.10222,0.5563
C3,0.10103,0.5169
C4,0.09204,0.5208
C5,0.18219,1.0258
C6,0.10554,0.632
C7,0.12257,0.667
C8,0.07333,0.4085
C9,0.09423,0.5081
C10,0.13437,0.8037
C11,0.16338,0.9891
D1,0.08768,0.5273
D2,,0.7158
D3,,0.5008
D4,,0.8345
D5,0.14455,0.877
D6,,0.466
D7,0.10323,0.6419
D8,,0.6488
D9,,0.6241
D10,0.11889,0.6806
D11,0.17754,1.0292
D12,0.05341,0.379
D13,0.08909,0.6196
D14,,0.5282
D15,,0.8852
D16,0.0665,0.4697
D17,0.14502,0.8337
D18,0.17688,1.0584
D19,,1.0091
D20,0.16182,0.9647
D21,,1.0401
D22,0.08064,1.2741
D23,0.19068,1.1724
D24,0.17109,1.1351
D25,,1.3515
D26,0.16477,1.0823