minutes_frozen,acclimation_day_length,acclimation_temp,treatment,acclimation_length_days,slug_number,weight,channel1SCP,channel2SCP,averageSCP,bathtemp_at_SCP,time_stamp_freeze,time_stamp_begin,time_until_freezing,survival
3,SD,20,SD20,21,1,0.8052,-7.49,-6.8,-7.145,-8.37,14:32:06,14:11:10,0:20:56,0
3,SD,20,SD20,21,2,0.4368,-6.8,-6.8,-6.8,-7.16,14:31:14,14:11:10,0:20:04,0
3,SD,20,SD20,21,3,1.0177,-5.2,-6.5,-5.85,-7.08,14:31:00,14:11:10,0:19:50,0
3,SD,20,SD20,21,4,0.4407,-7.3,-7.9,-7.6,-10.58,14:36:15,14:11:10,0:25:05,0
3,SD,20,SD20,21,5,0.6113,-3.2,-4.4,-3.8,-5.68,14:27:30,14:11:10,0:16:20,1
0,SD,20,SD20,21,1,0.3632,-6.9,-7.44,-7.17,-9.61,12:10:25,11:45:30,0:24:55,0
0,SD,20,SD20,21,2,0.5615,-5.9,,-5.9,-8.35,12:04:35,11:45:30,0:19:05,1
0,SD,20,SD20,21,3,0.847,-6.6,,-6.6,-8.51,12:05:26,11:45:30,0:19:56,0
0,SD,20,SD20,21,4,0.2741,-5,-4.6,-4.8,-8.02,12:03:36,11:45:30,0:18:06,1
0,SD,20,SD20,21,5,0.3987,-5.3,-6.1,-5.7,-9.75,12:10:35,11:45:30,0:25:05,0
0,SD,20,SD20,21,6,0.7121,-3.1,,-3.1,-8.48,12:04:18,11:45:30,0:18:48,0
0,SD,20,SD20,21,7,0.1177,-5.3,-6.4,-5.85,-8.51,12:05:03,11:45:30,0:19:33,0
0,SD,20,SD20,21,8,0.5972,NA,NA,NA,NA,NA,NA,NA,0
0,SD,20,SD20,21,9,0.5572,NA,NA,NA,NA,NA,NA,NA,1
0,SD,20,SD20,21,10,1.2629,NA,NA,NA,NA,NA,NA,NA,1
0,SD,20,SD20,21,11,0.4083,NA,NA,NA,NA,NA,NA,NA,0
0,SD,20,SD20,21,12,0.9153,NA,NA,NA,NA,NA,NA,NA,1
0,SD,15,SD15,21,1,0.8393,-5.79,-6.7,-6.245,-6.37,14:16:42,13:57:22,0:19:20,0
0,SD,15,SD15,21,2,0.9395,-4.1,,-4.1,-7.73,14:15:47,13:57:22,0:18:25,1
0,SD,15,SD15,21,3,0.9373,-4,,-4,-7.25,14:14:02,13:57:22,0:16:40,0
0,SD,15,SD15,21,4,0.339,NA,,NA,NA,NA,NA,NA,NA
0,SD,15,SD15,21,5,0.5676,-4.4,,-4.4,-7.58,14:18:56,13:57:22,0:21:34,1
0,SD,15,SD15,21,6,0.58,-4.5,,-4.5,-7.26,14:18:13,13:57:22,0:20:51,1
0,SD,15,SD15,21,7,0.6929,-6.4,,-6.4,-7.03,14:20:31,13:57:22,0:23:09,NA
0,SD,15,SD15,21,8,0.6345,-5.9,,-5.9,-7.03,14:20:42,13:57:22,0:23:20,0
0,SD,15,SD15,21,9,0.5946,-6,,-6,-7.17,14:20:58,13:57:22,0:23:36,0
0,SD,15,SD15,21,10,0.6504,-5.2,,-5.2,-6.85,14:17:32,13:57:22,0:20:10,0
0,SD,15,SD15,21,11,0.9149,-5,,-5,-7.46,16:45:02,16:26:07,0:18:55,1
0,SD,15,SD15,21,12,0.4214,-6.4,,-6.4,-8.64,16:50:09,16:26:07,0:24:02,0
0,SD,15,SD15,21,13,0.7915,-3.5,,-3.5,-7.92,16:44:25,16:26:07,0:18:18,0
0,LD,20,LD20,21,1,0.723,-7.02,-6.3,-6.66,-9.85,15:19:46,14:57:22,0:22:24,0
0,LD,20,LD20,21,2,0.4708,-6.8,,-6.8,-9.51,15:17:59,14:57:22,0:20:37,0
0,LD,20,LD20,21,3,0.6863,-5.6,,-5.6,-8.94,15:16:47,14:57:22,0:19:25,0
0,LD,20,LD20,21,4,0.547,-6.4,,-6.4,-8.06,15:15:27,14:57:22,0:18:05,0
0,LD,20,LD20,21,5,0.3838,-5.7,,-5.7,-10.77,15:22:55,14:57:22,0:25:33,0
0,LD,20,LD20,21,6,0.6135,-7.5,,-7.5,-9.69,15:19:13,14:57:22,0:21:51,0
0,LD,20,LD20,21,7,0.3697,-6.2,,-6.2,-8.43,15:16:02,14:57:22,0:18:40,0
0,LD,20,LD20,21,8,0.9305,-4.9,,-4.9,-9.71,15:19:00,14:57:22,0:21:38,0
0,LD,20,LD20,21,9,0.2853,NA,,NA,NA,NA,14:57:22,NA,NA
0,LD,20,LD20,21,10,0.378,-4.6,,-4.6,-9.75,15:19:22,14:57:22,0:22:00,0
0,LD,20,LD20,21,11,0.3234,-5.9,,-5.9,-7.52,16:46:34,16:26:07,0:20:27,0
0,LD,20,LD20,21,12,0.236,-6.2,,-6.2,-7.88,16:46:28,16:26:07,0:20:21,0
0,LD,15,LD15,21,1,0.4851,-3.7,-3.46,-3.58,-6.65,16:42:44,16:26:07,0:16:37,1
0,LD,15,LD15,21,2,0.3077,-6.8,,-6.8,-7.5,16:48:48,16:26:07,0:22:41,0
0,LD,15,LD15,21,3,0.4584,-6.1,,-6.1,-7.83,16:47:23,16:26:07,0:21:16,0
0,LD,15,LD15,21,4,0.3171,-6.1,,-6.1,-7.61,16:45:34,16:26:07,0:19:27,0
0,LD,15,LD15,21,5,0.5592,-5.6,,-5.6,-7.88,16:44:22,16:26:07,0:18:15,0
0,LD,15,LD15,21,6,0.9534,-2.9,,-2.9,-4.94,11:37:38,11:21:48,0:15:50,1
0,LD,15,LD15,21,7,0.44,-6.2,,-6.2,-6.96,11:40:21,11:21:48,0:18:33,0
0,LD,15,LD15,21,8,1.0506,NA,,NA,NA,NA,11:21:48,NA,NA
0,LD,15,LD15,21,9,0.9716,-5.4,,-5.4,-7.17,11:40:39,11:21:48,0:18:51,0
0,LD,15,LD15,21,10,0.9818,-6.1,,-6.1,-11.9,11:47:00,11:21:48,0:25:12,0
0,LD,15,LD15,21,11,0.3697,-6.4,,-6.4,-10.47,11:45:05,11:21:48,0:23:17,0
0,LD,15,LD15,21,12,0.3697,-5.3,,-5.3,-8.86,11:42:44,11:21:48,0:20:56,0